== 轉錄 ==

Idioms and Phrases  1. Dress up.  Dress up.  Every Halloween, the young cousins dress up as their favorite cartoon characters.  2. Pass on, too.  Pass on, too.  Sneezing or coughing without covering your mouth could pass on germs to others.  3. Cheer up.  Cheer up.  Annie felt sad because her college application was rejected and needed a hug to cheer her up.  4. Turn down.  Turn down.  Sam asked Ada out on a date, but she turned him down because she was already in a relationship.  5. Be about to.  Be about to.  Kelly was just about to unlock the door when a loud bang behind her gave her a huge fright.  6. After all.  After all.  Maybe we should wear costumes to the party.  After all, everyone else is dressing up.  7. Make a difference.  Make a difference.  Mrs. Tate made a difference in my life because she always tried her best to help me.

== 單字時間戳 (已移除非文字字符) ==

00:00:07.620 --> 00:00:08.540: Idioms
00:00:08.540 --> 00:00:08.920: and
00:00:08.920 --> 00:00:09.380: Phrases
00:00:09.920 --> 00:00:10.380: 1
00:00:10.700 --> 00:00:11.180: Dress
00:00:11.180 --> 00:00:11.600: up
00:00:12.600 --> 00:00:12.980: Dress
00:00:12.980 --> 00:00:13.400: up
00:00:14.340 --> 00:00:14.640: Every
00:00:14.640 --> 00:00:15.180: Halloween
00:00:15.440 --> 00:00:15.560: the
00:00:15.560 --> 00:00:15.800: young
00:00:15.800 --> 00:00:16.240: cousins
00:00:16.240 --> 00:00:16.680: dress
00:00:16.680 --> 00:00:16.960: up
00:00:16.960 --> 00:00:17.200: as
00:00:17.200 --> 00:00:17.400: their
00:00:17.400 --> 00:00:17.740: favorite
00:00:17.740 --> 00:00:18.220: cartoon
00:00:18.220 --> 00:00:18.780: characters
00:00:21.880 --> 00:00:22.340: 2
00:00:22.860 --> 00:00:23.260: Pass
00:00:23.260 --> 00:00:23.680: on
00:00:24.440 --> 00:00:24.760: too
00:00:25.800 --> 00:00:26.440: Pass
00:00:26.440 --> 00:00:26.940: on
00:00:27.440 --> 00:00:27.900: too
00:00:27.900 --> 00:00:29.720: Sneezing
00:00:29.720 --> 00:00:29.940: or
00:00:29.940 --> 00:00:30.340: coughing
00:00:30.340 --> 00:00:30.760: without
00:00:30.760 --> 00:00:31.280: covering
00:00:31.280 --> 00:00:31.580: your
00:00:31.580 --> 00:00:32.020: mouth
00:00:32.020 --> 00:00:32.600: could
00:00:32.600 --> 00:00:33.000: pass
00:00:33.000 --> 00:00:33.260: on
00:00:33.260 --> 00:00:33.620: germs
00:00:33.620 --> 00:00:33.900: to
00:00:33.900 --> 00:00:34.480: others
00:00:36.900 --> 00:00:37.780: 3
00:00:38.100 --> 00:00:38.680: Cheer
00:00:38.680 --> 00:00:39.580: up
00:00:40.460 --> 00:00:41.000: Cheer
00:00:41.000 --> 00:00:42.040: up
00:00:42.900 --> 00:00:43.200: Annie
00:00:43.200 --> 00:00:43.520: felt
00:00:43.520 --> 00:00:43.980: sad
00:00:43.980 --> 00:00:44.440: because
00:00:44.440 --> 00:00:44.760: her
00:00:44.760 --> 00:00:45.120: college
00:00:45.120 --> 00:00:45.720: application
00:00:45.720 --> 00:00:46.100: was
00:00:46.100 --> 00:00:46.580: rejected
00:00:46.580 --> 00:00:47.400: and
00:00:47.400 --> 00:00:47.700: needed
00:00:47.700 --> 00:00:47.920: a
00:00:47.920 --> 00:00:48.240: hug
00:00:48.240 --> 00:00:48.480: to
00:00:48.480 --> 00:00:48.700: cheer
00:00:48.700 --> 00:00:48.920: her
00:00:48.920 --> 00:00:49.320: up
00:00:51.580 --> 00:00:52.500: 4
00:00:53.000 --> 00:00:53.460: Turn
00:00:53.460 --> 00:00:54.580: down
00:00:55.640 --> 00:00:56.400: Turn
00:00:56.400 --> 00:00:57.160: down
00:00:58.180 --> 00:00:58.600: Sam
00:00:58.600 --> 00:00:59.060: asked
00:00:59.060 --> 00:00:59.440: Ada
00:00:59.440 --> 00:00:59.780: out
00:00:59.780 --> 00:00:59.960: on
00:00:59.960 --> 00:01:00.140: a
00:01:00.140 --> 00:01:00.520: date
00:01:00.760 --> 00:01:01.240: but
00:01:01.240 --> 00:01:01.420: she
00:01:01.420 --> 00:01:01.780: turned
00:01:01.780 --> 00:01:01.960: him
00:01:01.960 --> 00:01:02.340: down
00:01:02.340 --> 00:01:02.620: because
00:01:02.620 --> 00:01:02.820: she
00:01:02.820 --> 00:01:03.000: was
00:01:03.000 --> 00:01:03.480: already
00:01:03.480 --> 00:01:03.720: in
00:01:03.720 --> 00:01:03.840: a
00:01:03.840 --> 00:01:04.480: relationship
00:01:07.340 --> 00:01:08.100: 5
00:01:08.320 --> 00:01:08.680: Be
00:01:08.680 --> 00:01:09.020: about
00:01:09.020 --> 00:01:09.400: to
00:01:10.380 --> 00:01:10.660: Be
00:01:10.660 --> 00:01:11.040: about
00:01:11.040 --> 00:01:11.520: to
00:01:12.800 --> 00:01:13.060: Kelly
00:01:13.060 --> 00:01:13.400: was
00:01:13.400 --> 00:01:13.760: just
00:01:13.760 --> 00:01:14.040: about
00:01:14.040 --> 00:01:14.260: to
00:01:14.260 --> 00:01:14.660: unlock
00:01:14.660 --> 00:01:14.900: the
00:01:14.900 --> 00:01:15.220: door
00:01:15.220 --> 00:01:15.640: when
00:01:15.640 --> 00:01:15.840: a
00:01:15.840 --> 00:01:16.100: loud
00:01:16.100 --> 00:01:16.660: bang
00:01:16.660 --> 00:01:17.220: behind
00:01:17.220 --> 00:01:17.520: her
00:01:17.520 --> 00:01:18.060: gave
00:01:18.060 --> 00:01:18.240: her
00:01:18.240 --> 00:01:18.380: a
00:01:18.380 --> 00:01:18.720: huge
00:01:18.720 --> 00:01:19.200: fright
00:01:21.020 --> 00:01:21.780: 6
00:01:22.160 --> 00:01:22.600: After
00:01:22.600 --> 00:01:22.980: all
00:01:22.980 --> 00:01:24.340: After
00:01:24.340 --> 00:01:24.840: all
00:01:25.600 --> 00:01:26.040: Maybe
00:01:26.040 --> 00:01:26.320: we
00:01:26.320 --> 00:01:26.560: should
00:01:26.560 --> 00:01:26.780: wear
00:01:26.780 --> 00:01:27.440: costumes
00:01:27.440 --> 00:01:27.680: to
00:01:27.680 --> 00:01:27.880: the
00:01:27.880 --> 00:01:28.260: party
00:01:28.860 --> 00:01:29.140: After
00:01:29.140 --> 00:01:29.600: all
00:01:30.080 --> 00:01:30.460: everyone
00:01:30.460 --> 00:01:30.840: else
00:01:30.840 --> 00:01:31.040: is
00:01:31.040 --> 00:01:31.360: dressing
00:01:31.360 --> 00:01:31.820: up
00:01:33.320 --> 00:01:34.060: 7
