== 轉錄 ==

Lesson 1 The Day I Broke the Rules  Reading Selection  A few years ago, I was employed by the McDonald's Corporation.  On Ronald Day, I would dress up as Ronald McDonald and visit the community hospital's  sick children.  Most of these young patients were suffering from terminal illnesses.  Thus, I would try my best to ease their pain.  And I found it tremendously rewarding to be able to bring some laughter to the kids.

== 單字時間戳 (已移除非文字字符) ==

00:00:02.260 --> 00:00:03.000: Lesson
00:00:03.000 --> 00:00:03.420: 1
00:00:03.420 --> 00:00:05.600: The
00:00:05.600 --> 00:00:06.000: Day
00:00:06.000 --> 00:00:06.360: I
00:00:06.360 --> 00:00:06.740: Broke
00:00:06.740 --> 00:00:06.940: the
00:00:06.940 --> 00:00:07.480: Rules
00:00:12.890 --> 00:00:13.260: Reading
00:00:13.260 --> 00:00:13.860: Selection
00:00:13.860 --> 00:00:14.860: A
00:00:14.860 --> 00:00:15.060: few
00:00:15.060 --> 00:00:15.380: years
00:00:15.380 --> 00:00:15.620: ago
00:00:15.760 --> 00:00:16.040: I
00:00:16.040 --> 00:00:16.220: was
00:00:16.220 --> 00:00:16.620: employed
00:00:16.620 --> 00:00:16.920: by
00:00:16.920 --> 00:00:17.120: the
00:00:17.120 --> 00:00:17.740: McDonalds
00:00:17.740 --> 00:00:18.220: Corporation
00:00:19.080 --> 00:00:19.380: On
00:00:19.380 --> 00:00:19.800: Ronald
00:00:19.800 --> 00:00:20.180: Day
00:00:20.380 --> 00:00:20.580: I
00:00:20.580 --> 00:00:20.760: would
00:00:20.760 --> 00:00:21.040: dress
00:00:21.040 --> 00:00:21.280: up
00:00:21.280 --> 00:00:21.440: as
00:00:21.440 --> 00:00:21.760: Ronald
00:00:21.760 --> 00:00:22.220: McDonald
00:00:22.220 --> 00:00:22.820: and
00:00:22.820 --> 00:00:23.120: visit
00:00:23.120 --> 00:00:23.360: the
00:00:23.360 --> 00:00:23.800: community
00:00:23.800 --> 00:00:24.640: hospitals
00:00:24.640 --> 00:00:24.960: sick
00:00:24.960 --> 00:00:25.400: children
00:00:25.980 --> 00:00:26.300: Most
00:00:26.300 --> 00:00:26.500: of
00:00:26.500 --> 00:00:26.700: these
00:00:26.700 --> 00:00:26.980: young
00:00:26.980 --> 00:00:27.460: patients
00:00:27.460 --> 00:00:27.680: were
00:00:27.680 --> 00:00:28.080: suffering
00:00:28.080 --> 00:00:28.400: from
00:00:28.400 --> 00:00:28.840: terminal
00:00:28.840 --> 00:00:29.380: illnesses
00:00:30.120 --> 00:00:30.480: Thus
00:00:30.800 --> 00:00:31.080: I
00:00:31.080 --> 00:00:31.260: would
00:00:31.260 --> 00:00:31.540: try
00:00:31.540 --> 00:00:31.780: my
00:00:31.780 --> 00:00:32.280: best
00:00:32.280 --> 00:00:32.620: to
00:00:32.620 --> 00:00:32.980: ease
00:00:32.980 --> 00:00:33.220: their
00:00:33.220 --> 00:00:33.580: pain
00:00:34.080 --> 00:00:34.460: And
00:00:34.460 --> 00:00:34.660: I
00:00:34.660 --> 00:00:34.940: found
00:00:34.940 --> 00:00:35.120: it
00:00:35.120 --> 00:00:35.700: tremendously
00:00:35.700 --> 00:00:36.380: rewarding
00:00:36.380 --> 00:00:37.020: to
00:00:37.020 --> 00:00:37.200: be
00:00:37.200 --> 00:00:37.500: able
00:00:37.500 --> 00:00:37.780: to
00:00:37.780 --> 00:00:38.060: bring
00:00:38.060 --> 00:00:38.380: some
00:00:38.380 --> 00:00:38.800: laughter
00:00:38.800 --> 00:00:39.340: to
00:00:39.340 --> 00:00:39.520: the
00:00:39.520 --> 00:00:39.960: kids
